CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
20428,MGT,06304,  1,"Full Term ... 
21-JAN to 09-MAY",Evening,ORGAN CHG/DEVELOPMT,STAFF,"R       1830 1945 BUSN 221 (Class)
R       2000 2115 BUSN 221 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20430,MGT,06305,  1,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Roh, James",MW      0930 1045 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20431,MGT,06305,  2,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Pati, Niranjan",MW      1400 1515 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20432,MGT,06305,  3,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Pati, Niranjan",MW      1530 1645 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20438,MGT,06305,  4,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Pati, Niranjan",MW      1230 1345 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20433,MGT,06305,  5,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Lee, Jooh",TR      1230 1345 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20435,MGT,06305,  6,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Lee, Jooh",TR      1400 1515 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20437,MGT,06305,  7,"Full Term ... 
21-JAN to 09-MAY",Day,OPERATIONS MGMT,"Zhu, Faye X.",TR      1530 1645 BUSN 204 (Class),Main,,3,35,0,0,0,35,5,0,5,40
20439,MGT,06305,  8,"Full Term ... 
21-JAN to 09-MAY",Evening,OPERATIONS MGMT,STAFF,"R       1830 1945 BUSN 204 (Class)
R       2000 2115 BUSN 204 (Class)",Main,,3,35,0,0,0,35,5,0,5,40
20440,MGT,06305,  9,"Full Term ... 
21-JAN to 09-MAY",Online,OPERATIONS MGMT,"Roh, James",   ,Online,,3,30,0,0,0,30,5,0,5,
20441,MGT,06305, 10,"Full Term ... 
21-JAN to 09-MAY",Online,OPERATIONS MGMT,STAFF,   ,Online,,3,30,0,0,0,30,5,0,5,
